No,Model,Batch_size,loss,lr,Epoch,Aktivasyon,Optimizer,Train_Acc,Test_Acc
6,FC(48)-FC(24),8,mse,0.001,100,relu,sgd,72.12,57.0
14,FC(48)-FC(24),8,mse,0.001,150,sigmoid,sgd,52.25,56.5
18,FC(48)-FC(24),8,mse,0.001,150,relu,sgd,76.88,56.0
9,FC(48)-FC(24),8,mse,0.001,100,tanh,adam,92.38,55.0
16,FC(48)-FC(24),8,mse,0.001,150,sigmoid,nadam,78.12,55.0
50,FC(48)-FC(24),8,mse,0.005,150,sigmoid,sgd,54.37,55.0
38,FC(48)-FC(24),8,mse,0.005,100,sigmoid,sgd,53.25,54.5
19,FC(48)-FC(24),8,mse,0.001,150,relu,rmsprop,93.38,54.5
56,FC(48)-FC(24),8,mse,0.005,150,relu,nadam,92.5,54.5
3,FC(48)-FC(24),8,mse,0.001,100,sigmoid,rmsprop,57.12,54.0
26,FC(48)-FC(24),8,mse,0.001,200,sigmoid,sgd,53.25,54.0
17,FC(48)-FC(24),8,mse,0.001,150,relu,adam,92.38,54.0
33,FC(48)-FC(24),8,mse,0.001,200,tanh,adam,92.12,53.5
57,FC(48)-FC(24),8,mse,0.005,150,tanh,adam,93.12,53.5
44,FC(48)-FC(24),8,mse,0.005,100,relu,nadam,93.75,53.0
34,FC(48)-FC(24),8,mse,0.001,200,tanh,sgd,79.62,53.0
29,FC(48)-FC(24),8,mse,0.001,200,relu,adam,92.75,53.0
4,FC(48)-FC(24),8,mse,0.001,100,sigmoid,nadam,63.75,53.0
43,FC(48)-FC(24),8,mse,0.005,100,relu,rmsprop,91.75,53.0
32,FC(48)-FC(24),8,mse,0.001,200,relu,nadam,93.75,53.0
10,FC(48)-FC(24),8,mse,0.001,100,tanh,sgd,68.88,53.0
5,FC(48)-FC(24),8,mse,0.001,100,relu,adam,92.5,52.5
25,FC(48)-FC(24),8,mse,0.001,200,sigmoid,adam,85.38,52.5
2,FC(48)-FC(24),8,mse,0.001,100,sigmoid,sgd,52.62,52.5
53,FC(48)-FC(24),8,mse,0.005,150,relu,adam,83.5,52.5
54,FC(48)-FC(24),8,mse,0.005,150,relu,sgd,92.12,52.5
12,FC(48)-FC(24),8,mse,0.001,100,tanh,nadam,93.25,51.5
52,FC(48)-FC(24),8,mse,0.005,150,sigmoid,nadam,92.12,51.5
31,FC(48)-FC(24),8,mse,0.001,200,relu,rmsprop,93.25,51.5
58,FC(48)-FC(24),8,mse,0.005,150,tanh,sgd,92.5,51.5
40,FC(48)-FC(24),8,mse,0.005,100,sigmoid,nadam,92.88,51.0
22,FC(48)-FC(24),8,mse,0.001,150,tanh,sgd,72.12,51.0
1,FC(48)-FC(24),8,mse,0.001,100,sigmoid,adam,58.5,51.0
7,FC(48)-FC(24),8,mse,0.001,100,relu,rmsprop,92.5,51.0
21,FC(48)-FC(24),8,mse,0.001,150,tanh,adam,92.38,51.0
35,FC(48)-FC(24),8,mse,0.001,200,tanh,rmsprop,92.12,51.0
30,FC(48)-FC(24),8,mse,0.001,200,relu,sgd,82.38,50.5
55,FC(48)-FC(24),8,mse,0.005,150,relu,rmsprop,92.88,50.5
49,FC(48)-FC(24),8,mse,0.005,150,sigmoid,adam,92.12,50.5
47,FC(48)-FC(24),8,mse,0.005,100,tanh,rmsprop,92.88,50.5
45,FC(48)-FC(24),8,mse,0.005,100,tanh,adam,93.25,50.0
28,FC(48)-FC(24),8,mse,0.001,200,sigmoid,nadam,86.75,49.0
24,FC(48)-FC(24),8,mse,0.001,150,tanh,nadam,91.75,49.0
8,FC(48)-FC(24),8,mse,0.001,100,relu,nadam,92.38,48.5
13,FC(48)-FC(24),8,mse,0.001,150,sigmoid,adam,77.75,48.5
20,FC(48)-FC(24),8,mse,0.001,150,relu,nadam,92.0,48.5
51,FC(48)-FC(24),8,mse,0.005,150,sigmoid,rmsprop,92.0,48.5
23,FC(48)-FC(24),8,mse,0.001,150,tanh,rmsprop,93.38,48.0
46,FC(48)-FC(24),8,mse,0.005,100,tanh,sgd,91.62,48.0
39,FC(48)-FC(24),8,mse,0.005,100,sigmoid,rmsprop,92.0,48.0
15,FC(48)-FC(24),8,mse,0.001,150,sigmoid,rmsprop,70.25,48.0
41,FC(48)-FC(24),8,mse,0.005,100,relu,adam,93.88,48.0
36,FC(48)-FC(24),8,mse,0.001,200,tanh,nadam,93.12,47.5
42,FC(48)-FC(24),8,mse,0.005,100,relu,sgd,92.38,47.5
27,FC(48)-FC(24),8,mse,0.001,200,sigmoid,rmsprop,76.0,47.0
11,FC(48)-FC(24),8,mse,0.001,100,tanh,rmsprop,92.0,47.0
37,FC(48)-FC(24),8,mse,0.005,100,sigmoid,adam,92.62,47.0
48,FC(48)-FC(24),8,mse,0.005,100,tanh,nadam,92.88,44.0
60,FC(48)-FC(24),8,mse,0.005,150,tanh,nadam,92.0,44.0
59,FC(48)-FC(24),8,mse,0.005,150,tanh,rmsprop,91.75,43.5
